ROA: 3.000000 | RF: 0.000000 | WF: 7.000000  | Promotion: 5.620846 
ROA: 3.000000 | RF: 0.000000 | WF: 8.000000  | Promotion: 8.081486 
ROA: 3.000000 | RF: 0.000000 | WF: 9.000000  | Promotion: 8.081486 
ROA: 3.000000 | RF: 1.000000 | WF: 0.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 1.000000 | WF: 1.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 1.000000 | WF: 2.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 1.000000 | WF: 3.000000  | Promotion: 4.379154 
ROA: 3.000000 | RF: 1.000000 | WF: 4.000000  | Promotion: 4.673590 
ROA: 3.000000 | RF: 1.000000 | WF: 5.000000  | Promotion: 5.000000 
ROA: 3.000000 | RF: 1.000000 | WF: 6.000000  | Promotion: 5.326410 
ROA: 3.000000 | RF: 1.000000 | WF: 7.000000  | Promotion: 5.620846 
ROA: 3.000000 | RF: 1.000000 | WF: 8.000000  | Promotion: 8.081486 
ROA: 3.000000 | RF: 1.000000 | WF: 9.000000  | Promotion: 8.081486 
ROA: 3.000000 | RF: 2.000000 | WF: 0.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 2.000000 | WF: 1.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 2.000000 | WF: 2.000000  | Promotion: 1.918514 
ROA: 3.000000 | RF: 2.000000 | WF: 3.000000  | Promotion: 4.379154 
ROA: 3.000000 | RF: 2.000000 | WF: 4.000000  | Promotion: 4.673590 
